Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.36,36.0,71.23,20.6,67.0,70.11,24.0,48.18,32.0,67.66,15.8,68.1,65.88,29.31,46.3,30.0,68.18,15.43,57.72,67.65,29.12
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.05,37.0,75.28,12.1,72.6,59.88,33.3,50.02,30.0,75.28,10.16,74.57,60.71,34.14,46.61,27.0,71.03,13.08,57.17,63.13,36.4
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.65,38.0,71.0,15.42,89.37,50.1,8.37,50.44,27.0,74.89,12.31,88.67,49.49,16.02,,,,,,,
IR-D-N-0158,SCB Medical College and Hospital,Cuttack,Odisha,49.42,39.0,67.9,13.79,88.68,44.37,27.33,,,,,,,,,,,,,,
IR-D-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.13,40.0,63.99,23.07,75.92,50.24,28.13,46.47,35.0,59.48,23.66,73.12,46.6,22.53,46.63,26.0,60.87,23.42,61.58,51.06,39.13
IR-D-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,48.07,41.0,72.46,9.82,76.19,69.43,12.0,,,,,,,,,,,,,,
IR-D-U-0311,Krishna Institute of Medical Sciences Deemed University,Karad,Maharashtra,47.11,42.0,70.99,21.79,58.84,62.95,12.0,46.0,37.0,70.04,13.65,68.86,63.93,7.35,,,,,,,
IR-D-C-30698,Narayana Medical College,Sri Potti Sriramulu Nellore,Andhra Pradesh,46.5,43.0,73.1,6.87,79.77,53.58,12.0,,,,,,,,,,,,,,
IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,46.5,43.0,71.57,8.26,70.63,64.8,19.41,45.93,38.0,66.34,7.88,76.22,59.17,25.12,46.6,28.0,68.63,11.24,67.21,62.47,29.53
IR-D-C-19319,K. S. Hegde Medical Academy,Mangaluru,Karnataka,46.49,45.0,71.85,8.97,62.41,70.26,27.33,46.31,36.0,69.62,7.71,67.45,69.19,26.97,,,,,,,
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,46.08,46.0,70.74,12.74,57.24,73.67,22.22,45.62,40.0,67.64,10.5,67.26,74.49,12.77,,,,,,,
IR-D-C-24503,Jawaharlal Nehru Medical College,Belagavi,Karnataka,46.04,47.0,68.28,13.53,58.84,64.66,32.6,,,,,,,,,,,,,,
IR-D-C-47556,"Tirunelveli Medical College, Tirunelveli",Tirunelveli - ,Tamil Nadu,46.03,48.0,70.22,6.52,76.11,58.53,19.41,,,,,,,,,,,,,,
IR-D-C-7049,Chettinad Hospital and Research Institute,"Kelambakkam, Chengalpattu District",Tamil Nadu,45.32,49.0,72.42,7.02,66.81,61.87,19.41,,,,,,,,,,,,,,
IR-D-I-1325,"Shri B.M.Patil Medical College, Hospital & Research Centre",Vijayapura,Karnataka,45.11,50.0,70.07,7.9,69.35,66.48,12.0,,,,,,,,,,,,,,
IR-D-C-29209,Christian Medical College,Ludhiana,Punjab,,,,,,,,55.01,18.0,74.87,20.34,85.79,65.89,26.97,50.43,18.0,68.43,28.8,60.67,64.78,26.52
IR-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,,,,,,,,45.93,38.0,69.83,6.74,78.12,52.19,21.17,46.38,29.0,70.49,9.44,72.42,51.43,27.84
