Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-P-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,61.48,11.0,73.61,61.77,57.72,59.54,33.82,54.49,21.0,67.88,53.39,44.28,59.01,33.46,51.54,25.0,64.5,47.97,37.64,58.5,44.17,43.03,33,54.02,35.54,36.42,56.36,32.43,,,,,,,,,,,,,,
IR-P-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.21,12.0,68.19,57.78,68.21,77.63,20.25,56.82,15.0,58.11,53.78,66.3,63.83,36.24,56.43,15.0,56.21,54.34,61.29,51.8,58.26,,,,,,,,,,,,,,,,,,,,,
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,60.33,13.0,86.81,36.87,63.82,63.0,41.71,54.99,18.0,83.31,30.27,53.0,59.59,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-N-10,SVKM's Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,59.99,14.0,80.16,43.19,76.17,61.49,16.03,57.85,13.0,77.13,34.25,81.91,60.45,20.0,57.4,13.0,79.9,35.49,75.21,62.32,15.06,57.61,9,75.46,30.96,82.3,59.76,32.43,36.64,43.0,50.22,15.85,48.31,49.61,21.98,,,,,,,
IR-P-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.39,15.0,67.92,52.18,69.42,50.86,33.82,54.85,19.0,59.2,57.11,51.76,50.28,45.82,56.69,14.0,53.21,60.62,62.35,50.74,50.03,45.33,27,42.05,50.98,45.91,53.03,29.52,54.28,9.0,58.35,51.02,58.17,74.65,23.81,,,,,,,
IR-P-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,57.86,16.0,72.47,48.32,71.64,36.35,36.62,59.88,12.0,72.88,52.84,67.02,37.78,49.89,57.76,12.0,68.78,58.94,51.58,37.83,53.52,49.22,20,65.79,47.82,39.08,33.08,40.13,50.91,13.0,53.2,62.41,49.88,47.95,14.53,,,,,,,
IR-P-C-35430,Poona College of Pharmacy,Pune,Maharashtra,55.97,17.0,70.91,29.91,73.26,54.99,55.81,54.44,22.0,64.87,28.05,72.51,54.85,65.82,55.84,16.0,66.14,32.5,69.49,54.74,68.78,57.11,11,66.89,39.12,61.71,55.87,73.69,54.69,8.0,62.33,39.08,57.71,70.28,57.02,70.92,4.0,52.87,81.66,66.91,71.75,98.0
IR-P-U-0383,"Punjabi University, Patiala",Patiala,Punjab,55.74,18.0,61.26,46.44,68.14,42.2,55.81,54.29,23.0,60.1,47.0,68.05,39.71,45.82,54.67,18.0,58.91,52.66,63.69,40.36,44.17,53.2,16,59.83,58.53,53.29,40.76,29.52,,,,,,,,,,,,,,
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,55.73,19.0,67.16,31.6,74.58,57.7,54.07,60.45,11.0,84.16,30.8,70.57,66.68,51.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0146,Nirma University,Ahmedabad,Gujarat,55.06,20.0,64.13,42.21,72.53,52.68,33.82,55.05,17.0,62.01,41.58,69.74,52.36,47.9,53.44,21.0,63.55,40.65,62.54,52.49,44.17,51.64,18,60.87,38.72,54.93,53.75,53.96,47.57,16.0,59.32,33.29,52.74,65.97,26.27,,,,,,,
IR-P-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,54.82,21.0,67.44,34.67,70.81,52.0,48.34,51.52,26.0,68.36,28.66,64.27,52.0,43.62,53.68,20.0,69.97,33.95,58.26,51.8,56.74,48.87,21,66.65,30.83,42.88,53.2,57.2,45.97,19.0,64.04,31.42,31.83,71.07,38.54,,,,,,,
IR-P-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,54.21,22.0,72.21,24.12,85.5,76.05,6.06,54.54,20.0,70.47,26.18,82.42,74.82,15.83,54.66,19.0,70.03,25.6,83.03,74.54,19.07,53.41,16A,68.42,25.73,80.9,66.84,22.99,45.76,20.0,53.1,25.57,73.17,65.64,9.68,,,,,,,
IR-P-U-0379,Lovely Professional University,Phagwara,Punjab,54.2,23.0,66.22,54.64,51.34,56.46,20.25,50.46,29.0,62.85,42.93,50.95,58.07,27.27,50.71,27.0,66.55,41.68,48.95,58.4,26.1,45.42,26,61.52,35.22,42.5,63.68,15.24,,,,,,,,,,,,,,
IR-P-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,53.33,24.0,52.8,44.53,74.79,57.91,33.82,57.68,14.0,66.72,42.86,77.34,52.01,41.3,55.07,17.0,64.77,40.71,72.64,49.19,39.76,56.78,12,65.18,44.61,74.41,52.02,37.72,,,,,,,,,,,,,,
IR-P-C-33873,Bombay College of Pharmacy,Mumbai,Maharashtra,53.24,25.0,74.55,20.72,63.3,53.68,66.33,53.37,24.0,72.89,22.54,59.3,53.51,75.25,51.89,24.0,65.13,26.65,57.62,48.43,79.92,57.94,8,71.07,38.85,59.68,47.99,82.19,47.87,15.0,62.57,28.35,48.81,50.39,58.0,69.48,6.0,54.46,79.13,70.07,61.22,97.0
IR-P-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,52.34,26.0,64.33,31.69,60.37,60.46,54.07,56.52,16.0,66.3,42.3,59.38,60.42,60.15,59.16,11.0,71.46,47.17,55.06,52.45,73.18,56.63,13,70.04,48.43,56.77,57.26,40.13,51.09,12.0,67.49,43.97,38.74,61.74,37.3,67.0,7.0,60.96,71.9,78.54,40.66,93.0
IR-P-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,51.28,27.0,71.14,31.4,56.51,45.96,46.25,49.73,31.0,69.08,29.6,54.62,46.26,45.82,44.67,35.0,63.56,23.91,47.82,40.49,48.17,39.74,47,62.48,20.76,39.96,35.43,32.43,,,,,,,,,,,,,,
IR-P-C-33877,SVKM's Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,51.2,28.0,72.88,28.04,70.64,52.04,16.03,50.07,30.0,71.55,23.01,70.38,52.48,23.79,47.26,30.0,68.86,21.9,66.74,51.7,15.06,43.26,32,57.12,20.17,66.99,51.45,15.24,36.93,42.0,54.66,12.47,60.46,46.68,0.28,,,,,,,
IR-P-C-10398,I. S. F. College of Pharmacy,Moga,Punjab,50.77,29.0,60.99,31.41,65.18,60.86,39.24,49.26,32.0,49.6,41.37,61.22,53.75,43.62,52.01,23.0,55.47,50.58,55.33,49.26,42.02,52.15,17,46.55,63.41,57.52,47.23,29.52,45.13,21.0,47.59,50.59,40.21,57.42,18.86,,,,,,,
IR-P-I-1450,AU College of Pharmaceutical Sciences,Visakhapatnam,Andhra Pradesh,50.52,30.0,52.78,27.59,83.0,42.26,55.81,48.64,34.0,52.45,29.77,65.83,45.03,63.08,45.57,34.0,49.85,28.07,59.29,46.72,56.74,44.43,28,57.0,21.71,61.65,55.36,29.52,46.25,18.0,48.49,42.54,51.34,60.2,26.52,,,,,,,
IR-P-I-1280,Maharshi Dayanand University,Rohtak,Haryana,50.19,31.0,59.64,38.87,56.72,49.0,44.04,47.86,36.0,56.6,35.82,58.7,47.65,36.24,46.74,32.0,55.05,33.3,58.19,41.74,44.17,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0853,Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,50.08,32.0,55.89,18.16,75.54,58.62,68.91,52.13,25.0,54.43,23.66,74.93,56.92,80.23,51.44,26.0,57.57,20.71,73.27,55.01,78.11,49.68,19,60.5,18.73,70.07,50.94,68.09,48.44,14.0,55.67,22.31,68.27,61.39,52.64,,,,,,,
IR-P-I-1072,National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,49.9,33.0,80.14,13.74,57.25,63.71,39.24,51.49,27.0,84.16,15.25,61.81,29.98,63.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0168,Maharishi Markandeshwar,Ambala,Haryana,49.81,34.0,59.93,32.19,63.51,53.02,41.71,51.12,28.0,61.05,33.46,62.92,51.91,49.89,43.2,41.0,53.3,29.48,48.17,52.57,34.81,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0373,Chitkara University,Rajpura,Punjab,49.68,35.0,71.61,17.33,62.38,63.48,41.71,47.37,38.0,62.88,18.18,64.92,61.89,38.85,43.0,44.0,63.21,16.16,54.11,57.59,26.1,38.54,50,55.57,14.02,51.65,54.03,19.29,,,,,,,,56.11,17.0,56.84,71.16,48.1,48.6,32.0
IR-P-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,49.38,36.0,67.81,31.94,65.22,52.9,11.34,45.69,39.0,61.66,29.75,66.24,50.11,0.0,44.22,39.0,64.79,23.51,41.2,50.68,44.17,44.22,30,63.86,22.34,58.79,50.8,15.24,37.45,39.0,46.47,16.88,57.11,48.71,21.56,55.17,19.0,60.43,49.17,74.7,41.31,49.0
IR-P-U-0491,"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",Chennai,Tamil Nadu,49.06,37.0,65.26,40.73,49.66,49.2,24.08,44.35,43.0,63.09,37.93,45.4,49.6,0.0,40.63,52.0,61.22,30.02,40.84,45.21,5.64,40.83,43,61.01,21.96,46.33,47.39,19.29,,,,,,,,,,,,,,
IR-P-U-0051,Dibrugarh University,Dibrugarh,Assam,48.89,38.0,67.35,29.8,61.27,41.07,33.82,48.45,35.0,68.54,33.57,58.84,29.97,30.48,48.79,28.0,62.37,36.42,60.26,36.22,34.81,,,,,,,,,,,,,,,,,,,,,
IR-P-I-1335,Dr. D. Y. Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,48.27,39.0,70.16,8.18,73.74,53.97,46.25,44.9,41.0,67.23,7.42,63.01,53.2,45.82,42.0,45.0,69.15,5.04,49.19,52.89,46.22,38.93,49,56.67,3.36,56.07,52.52,44.57,,,,,,,,,,,,,,
IR-P-C-24505,"KLE College of Pharmacy, Belgaum",Belgaum,Karnataka,46.26,40.0,68.3,11.36,69.61,60.31,24.08,47.73,37.0,68.06,13.55,63.24,64.67,41.3,52.04,22.0,69.91,20.69,62.49,66.94,56.74,47.82,22,65.38,17.67,55.79,63.46,53.96,37.61,37.0,61.47,13.43,42.63,56.8,9.25,,,,,,,
IR-P-U-0519,Integral University,Lucknow,Uttar Pradesh,45.7,41.0,62.12,34.65,46.3,43.33,30.82,43.79,46.0,61.61,33.56,44.13,44.07,20.0,43.31,40.0,60.68,31.32,45.76,42.8,22.73,42.52,36,57.53,33.3,47.05,43.37,15.24,41.57,25.0,54.92,32.74,40.78,62.05,9.07,,,,,,,
IR-P-U-0085,Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,45.64,42.0,70.01,32.45,53.71,41.62,0.0,44.17,44.0,70.73,32.84,46.52,37.95,0.0,44.38,37.0,72.02,31.57,43.63,35.06,10.62,42.58,35,69.88,30.9,37.6,48.28,0.0,38.1,35.0,67.94,17.87,34.35,45.94,9.02,,,,,,,
IR-P-I-1256,Noida Institute of Engineering and Technology (Pharmacy Institute),Greater Noida,Uttar Pradesh,45.5,43.0,63.12,3.19,70.28,56.28,59.1,42.46,49.0,60.62,2.28,67.33,57.5,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0034,Sri Padmavathi Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,45.4,44.0,68.76,24.16,55.53,52.82,11.34,44.52,42.0,64.33,19.2,61.05,52.52,20.0,41.66,46.0,63.91,16.18,56.1,45.0,19.07,,,,,,,,,,,,,,,,,,,,,
IR-P-C-19322,Nitte Gulabi Shetty Memorial Institute of Pharmaceutical Sciences,Mangaluru,Karnataka,45.39,45.0,68.3,16.74,67.04,58.59,6.06,42.46,49.0,67.96,9.13,53.04,56.72,30.48,46.05,33.0,64.92,7.43,56.12,59.06,72.13,45.56,25,61.09,7.31,56.68,72.71,64.33,40.63,27.0,54.3,9.22,52.18,80.96,30.3,55.26,18.0,55.75,57.65,69.91,65.92,9.0
IR-P-C-18900,Smt. Kishoritai Bhoyar College of Pharmacy,Nagpur,Maharashtra,44.91,46.0,66.36,6.38,70.44,53.43,36.62,42.62,48.0,65.28,4.86,61.75,53.39,38.85,38.56,59.0,65.12,5.37,55.49,52.53,10.62,40.77,44,64.2,7.78,50.29,55.96,35.16,38.2,34.0,63.7,8.93,48.84,62.94,3.49,,,,,,,
IR-P-C-409,L. M. College of Pharmacy,Ahmedabad,Gujarat,44.77,47.0,69.91,9.39,56.96,51.91,44.04,44.11,45.0,67.11,7.91,52.61,52.29,58.61,47.1,31.0,70.28,10.0,56.67,51.8,65.14,46.04,24,66.2,11.07,59.75,53.5,55.61,44.4,23.0,65.76,9.59,61.08,56.96,38.72,60.56,12.0,48.99,64.45,59.01,58.29,89.0
IR-P-U-0019,Kakatiya University,Hanamkonda,Telangana,44.4,48.0,43.2,31.1,64.19,50.97,41.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-11091,"Bharati Vidyapeeth College of Pharmacy, Kolhapur",Kolhapur,Maharashtra,43.74,49.0,62.61,16.51,60.25,52.0,27.58,39.59,62.0,54.41,9.56,58.14,41.94,45.82,39.83,54.0,60.97,6.92,55.66,43.53,39.76,,,,,,,,37.67,36.0,54.35,7.77,44.58,61.5,39.57,53.97,25.0,54.5,56.83,45.54,58.67,49.0
IR-P-I-1045,R. C. Patel Institute of Pharmaceutical Education & Research,Shirpur,Maharashtra,43.34,50.0,71.18,11.08,65.57,55.6,0.0,41.4,53.0,63.92,14.81,56.7,48.64,15.83,43.15,42.0,64.35,17.37,61.74,47.76,15.06,41.36,40,58.86,26.02,51.9,49.45,5.72,37.53,38.0,56.58,18.06,39.27,61.89,10.91,57.25,14.0,46.67,71.7,42.9,69.3,49.0
IR-P-U-0747,Chandigarh University,Mohali,Punjab,43.33,51.0,69.64,6.86,53.89,75.79,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0724,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,43.12,52.0,65.15,16.04,50.25,59.62,27.58,41.74,52.0,64.83,13.29,39.61,60.23,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-34531,Y. B. Chavan College of Pharmacy,Aurangabad,Maharashtra,43.03,53.0,64.52,13.57,54.11,51.2,36.62,45.12,40.0,61.95,18.71,55.0,55.61,43.62,44.59,36.0,62.99,18.45,44.28,53.33,59.73,42.59,34,60.96,21.21,46.02,52.19,35.16,41.85,24.0,55.29,15.24,56.83,57.32,35.86,,,,,,,
IR-P-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,42.36,54.0,48.39,32.37,56.81,51.65,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-26907,Raghavendra Institute of Pharmaceuatical Education & Research,Anantapur,Andhra Pradesh,42.16,55.0,62.66,5.15,67.3,56.04,27.58,41.14,55.0,62.47,3.32,61.68,57.14,33.46,37.86,63.0,62.4,2.86,50.51,55.67,26.1,41.39,39,63.68,4.23,68.43,58.01,15.24,,,,,,,,55.05,20.0,41.9,58.16,63.06,76.86,40.0
IR-P-C-30858,Goa College of Pharmacy,Panaji,Goa,42.13,56.0,66.76,4.22,61.09,52.28,33.82,42.73,47.0,67.07,1.12,64.68,52.04,41.3,43.07,43.0,69.09,0.2,63.76,51.11,44.17,41.96,37,67.63,0.58,65.78,50.99,32.43,40.01,30.0,66.17,1.9,57.14,55.21,26.37,54.46,23.0,84.35,34.08,65.65,32.5,42.0
IR-P-C-10250,Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy,Bela,Punjab,42.11,57.0,60.03,8.18,71.48,62.25,11.34,40.45,60.0,59.8,5.95,57.8,64.33,27.27,38.09,62.0,57.42,5.55,58.22,56.42,19.07,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0562,"Kumaun University, Nainital",Nainital,Uttarakhand,41.89,58.0,61.06,21.79,56.9,50.41,6.06,37.23,75.0,59.77,14.22,55.01,34.25,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0513,G. L. A. University,Mathura,Uttar Pradesh,41.78,59.0,64.29,20.05,51.1,46.5,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-40354,Acharya & B M Reddy College of Pharmacy,Bengaluru,Karnataka,41.66,60.0,63.5,6.89,67.13,55.05,16.03,,,,,,,,36.65,71.0,56.54,6.35,35.67,54.78,51.81,,,,,,,,,,,,,,,49.92,42.0,47.22,51.27,49.98,58.89,40.0
IR-P-C-19747,Anurag University,Hyderabad,Telangana,41.28,61.0,61.03,4.95,47.64,63.77,55.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-26904,Sri Venkateswara College of Pharmacy,Chittoor,Andhra Pradesh,41.2,62.0,66.16,2.56,70.09,65.6,0.0,37.72,69.0,64.49,1.59,56.86,59.21,5.97,38.84,57.0,62.4,2.22,64.29,60.28,5.64,,,,,,,,,,,,,,,,,,,,,
IR-P-C-10283,"Chandigarh College of Pharmacy, Landran",Landran,Punjab,40.72,63.0,63.61,13.54,51.26,62.01,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-45540,PSG College of Pharmacy,Coimbatore,Tamil Nadu,40.4,64.0,57.28,9.66,51.26,52.31,48.34,42.21,51.0,57.47,10.5,59.59,53.19,45.82,44.38,37.0,54.72,17.59,56.3,53.02,61.15,43.62,31,49.31,22.77,50.73,52.85,65.62,36.21,46.0,53.15,14.0,41.46,69.95,7.7,61.3,11.0,65.39,60.61,65.35,64.7,40.0
IR-P-C-33814,Bharati Vidyapeeth's College of Pharmacy,Navi Mumbai,Maharashtra,40.26,65.0,65.95,11.13,44.32,51.86,30.82,40.64,58.0,64.11,10.93,45.05,52.27,38.85,41.2,49.0,64.22,12.9,44.44,51.94,39.76,41.14,42,64.96,14.71,46.75,52.54,26.38,,,,,,,,,,,,,,
IR-P-C-44200,C.U. Shah College of Pharmacy,Mumbai,Maharashtra,40.13,66.0,64.43,5.13,55.98,52.96,27.58,38.46,65.0,63.19,4.34,59.34,52.15,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0413,Mohan Lal Sukhadia University,Udaipur,Rajasthan,39.8,67.0,64.44,14.95,53.91,52.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0502,Bundelkhand University,Jhansi,Uttar Pradesh,39.61,68.0,65.24,11.09,60.24,46.61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-S-10906,Guru Nanak Institute of Pharmaceutical Science & Technology,Kolkata,West Bengal,39.47,69.0,63.11,2.72,68.6,48.65,11.34,37.9,67.0,62.96,2.95,59.31,46.89,15.83,37.79,64.0,60.85,1.21,55.0,46.88,34.81,,,,,,,,,,,,,,,,,,,,,
IR-P-C-39486,Chalapathi Institute of Pharmaceutical Sciences,Guntur,Andhra Pradesh,39.47,69.0,64.14,5.47,67.04,51.81,0.0,41.31,54.0,58.63,3.56,67.27,50.72,41.3,41.01,51.0,59.98,2.48,68.27,51.48,34.81,,,,,,,,36.1,48.0,55.93,6.16,45.87,67.21,15.81,,,,,,,
IR-P-U-0093,Pt. Ravishankar Shukla University,Raipur,Chhattisgarh,39.33,71.0,46.84,23.24,65.17,46.66,6.06,40.6,59.0,46.32,28.61,58.05,45.13,20.0,41.36,48.0,46.73,29.02,57.66,51.9,19.07,39.61,48,45.61,31.3,53.76,47.14,10.75,,,,,,,,,,,,,,
IR-P-U-0401,Jaipur National University,Jaipur,Rajasthan,38.7,72.0,50.72,27.44,51.75,49.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-19613,Vishnu Institute of Pharmaceutical Education and Research,Narsapur,Telangana,38.7,72.0,60.18,1.64,46.9,53.74,54.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-45528,KMCH College of Pharmacy,Coimbatore,Tamil Nadu,38.67,74.0,65.27,2.43,52.81,57.84,20.25,37.7,70.0,57.42,3.19,51.62,58.36,33.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-C-40080,Sri Adichunchanagiri College of Pharmacy,B.G Nagara,Karnataka,38.58,75.0,64.78,1.03,59.18,58.66,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,,,,,,,,48.67,33.0,63.38,27.92,70.05,48.98,23.79,48.64,29.0,60.98,34.15,67.44,43.29,22.73,,,,,,,,,,,,,,,,,,,,,
IR-P-U-0536,"Sam Higginbottom Institute of Agriculture, Technology & Sciences",Allahabad,Uttar Pradesh,,,,,,,,41.05,56.0,69.43,27.04,31.87,51.44,5.97,39.12,56.0,67.03,19.37,41.53,43.33,5.64,,,,,,,,,,,,,,,,,,,,,
IR-P-I-1243,"College of Pharmacy, Madras Medical College",Chennai,Tamil Nadu,,,,,,,,40.93,57.0,63.83,0.81,56.13,53.24,49.89,41.63,47.0,59.93,6.15,49.05,49.96,69.92,41.3,41,57.63,9.64,48.44,55.6,58.72,38.34,33.0,53.18,15.54,39.6,70.0,28.13,48.0,50.0,56.76,44.07,46.91,47.25,36.0
IR-P-C-6269,NSHM Knowledge Campus,Kolkata,West Bengal,,,,,,,,39.65,61.0,61.49,4.37,62.24,47.08,27.27,37.12,68.0,60.62,4.34,48.38,44.75,34.81,,,,,,,,,,,,,,,,,,,,,
IR-P-C-33553,Vivekanand Education Society's College of Pharmacy,Mumbai,Maharashtra,,,,,,,,39.41,63.0,63.89,10.99,56.35,50.72,5.97,37.22,67.0,61.44,9.15,47.53,50.25,15.06,,,,,,,,,,,,,,,,,,,,,
IR-P-I-1289,Acharya Nagarjuna University College of Pharmaceutical Sciences,Guntur,Andhra Pradesh,,,,,,,,38.73,64.0,52.07,10.7,63.41,44.91,27.27,41.17,50.0,55.89,8.49,65.72,45.15,42.02,,,,,,,,41.5,26.0,47.76,29.61,59.8,57.61,5.69,,,,,,,
IR-P-I-1262,Sri Ramakrishna Institute of Paramedical Sciences,Coimbatore,Tamil Nadu,,,,,,,,38.17,66.0,65.5,0.18,44.39,44.12,51.78,38.75,58.0,64.38,0.32,41.69,46.1,63.85,,,,,,,,,,,,,,,,,,,,,
IR-P-C-42167,P. E. Society's Modern College of Pharmacy,Pune,Maharashtra,,,,,,,,37.85,68.0,67.49,1.35,51.43,53.3,15.83,36.44,74.0,66.39,2.87,52.2,52.23,0.0,,,,,,,,37.06,41.0,53.03,18.15,41.74,64.01,9.48,,,,,,,
IR-P-C-41951,Padamshree Dr. D. Y. Patil College of Pharmacy,Pune,Maharashtra,,,,,,,,37.49,71.0,60.1,1.52,60.56,53.1,15.83,36.97,69.0,61.62,1.71,56.33,51.88,15.06,,,,,,,,37.42,40.0,60.63,4.09,43.42,69.48,23.67,,,,,,,
